fishery,age,sel
33,31,0.9509
33,32,0.9507
33,33,0.9505
33,34,0.9504
33,35,0.9504
33,36,0.9503
33,37,0.9503
33,38,0.9503
33,39,0.9503
33,40,0.9503
34,1,0
34,2,0
34,3,0
34,4,0
34,5,4e-04
34,6,0.0132
34,7,0.1156
34,8,0.3621
34,9,0.6366
34,10,0.8236
34,11,0.9195
34,12,0.9674
34,13,0.9911
34,14,0.9998
34,15,1
34,16,0.9958
34,17,0.9898
34,18,0.9834
34,19,0.9773
34,20,0.9719
34,21,0.9673
34,22,0.9634
34,23,0.9603
34,24,0.9579
34,25,0.9559
34,26,0.9544
34,27,0.9533
34,28,0.9524
34,29,0.9517
34,30,0.9513
34,31,0.9509
34,32,0.9507
34,33,0.9505
34,34,0.9504
34,35,0.9504
34,36,0.9503
34,37,0.9503
34,38,0.9503
34,39,0.9503
34,40,0.9503
35,1,0
35,2,0
35,3,0
35,4,0
35,5,4e-04
35,6,0.0132
35,7,0.1156
35,8,0.3621
35,9,0.6366
35,10,0.8236
35,11,0.9195
35,12,0.9674
35,13,0.9911
35,14,0.9998
35,15,1
35,16,0.9958
35,17,0.9898
35,18,0.9834
35,19,0.9773
35,20,0.9719
35,21,0.9673
35,22,0.9634
35,23,0.9603
35,24,0.9579
35,25,0.9559
35,26,0.9544
35,27,0.9533
35,28,0.9524
35,29,0.9517
35,30,0.9513
35,31,0.9509
35,32,0.9507
35,33,0.9505
35,34,0.9504
35,35,0.9504
35,36,0.9503
35,37,0.9503
35,38,0.9503
35,39,0.9503
35,40,0.9503
36,1,0
36,2,0
36,3,0
36,4,0
36,5,4e-04
36,6,0.0132
36,7,0.1156
36,8,0.3621
36,9,0.6366
36,10,0.8236
36,11,0.9195
36,12,0.9674
36,13,0.9911
36,14,0.9998
36,15,1
36,16,0.9958
36,17,0.9898
36,18,0.9834
36,19,0.9773
36,20,0.9719
36,21,0.9673
36,22,0.9634
36,23,0.9603
36,24,0.9579
36,25,0.9559
36,26,0.9544
36,27,0.9533
36,28,0.9524
36,29,0.9517
36,30,0.9513
36,31,0.9509
36,32,0.9507
36,33,0.9505
36,34,0.9504
36,35,0.9504
36,36,0.9503
36,37,0.9503
36,38,0.9503
36,39,0.9503
36,40,0.9503
37,1,0
37,2,0
37,3,0
37,4,0
37,5,4e-04
37,6,0.0132
37,7,0.1156
37,8,0.3621
37,9,0.6366
37,10,0.8236
37,11,0.9195
37,12,0.9674
37,13,0.9911
37,14,0.9998
37,15,1
37,16,0.9958
37,17,0.9898
37,18,0.9834
37,19,0.9773
37,20,0.9719
37,21,0.9673
37,22,0.9634
37,23,0.9603
37,24,0.9579
37,25,0.9559
37,26,0.9544
37,27,0.9533
37,28,0.9524
37,29,0.9517
37,30,0.9513
37,31,0.9509
37,32,0.9507
37,33,0.9505
37,34,0.9504
37,35,0.9504
37,36,0.9503
37,37,0.9503
37,38,0.9503
37,39,0.9503
37,40,0.9503
