age,year,area,f
6,1968,1,0.010671408
7,1968,1,0.009141494
8,1968,1,0.009477161
9,1968,1,0.009961457
10,1968,1,0.010361138
11,1968,1,0.010916361
12,1968,1,0.011823751
13,1968,1,0.013046021
14,1968,1,0.014348315
15,1968,1,0.01556131
16,1968,1,0.016630015
17,1968,1,0.017543992
18,1968,1,0.018310494
19,1968,1,0.018943334
20,1968,1,0.01945861
21,1968,1,0.01987284
22,1968,1,0.02020194
23,1968,1,0.020460574
24,1968,1,0.020661783
25,1968,1,0.020816915
26,1968,1,0.020935225
27,1968,1,0.021024601
28,1968,1,0.021091448
29,1968,1,0.021140897
30,1968,1,0.021177019
31,1968,1,0.021203004
32,1968,1,0.021221343
33,1968,1,0.021233954
34,1968,1,0.02124232
35,1968,1,0.021247567
36,1968,1,0.021250552
37,1968,1,0.021251921
38,1968,1,0.021251921
39,1968,1,0.021251921
40,1968,1,0.021251921
1,1969,1,1.8593051e-06
2,1969,1,0.018922667
3,1969,1,0.026820304
4,1969,1,0.035685902
5,1969,1,0.024918785
6,1969,1,0.014634885
7,1969,1,0.011040119
8,1969,1,0.01046875
9,1969,1,0.010297645
10,1969,1,0.010056771
11,1969,1,0.010015241
12,1969,1,0.010417954
13,1969,1,0.011218115
14,1969,1,0.012143597
15,1969,1,0.013005877
16,1969,1,0.013748089
17,1969,1,0.014364699
18,1969,1,0.01486777
19,1969,1,0.015273419
20,1969,1,0.015597366
21,1969,1,0.015853753
22,1969,1,0.01605491
23,1969,1,0.016211412
24,1969,1,0.01633218
25,1969,1,0.016424767
26,1969,1,0.016494884
27,1969,1,0.016547518
28,1969,1,0.016586654
29,1969,1,0.016615442
30,1969,1,0.016636348
31,1969,1,0.016651296
32,1969,1,0.01666177
33,1969,1,0.016668913
34,1969,1,0.016673595
35,1969,1,0.016676479
36,1969,1,0.016678066
37,1969,1,0.016678729
38,1969,1,0.016678729
39,1969,1,0.016678729
40,1969,1,0.016678729
1,1970,1,3.3070408e-06
2,1970,1,0.016724652
3,1970,1,0.02370178
4,1970,1,0.031556554
5,1970,1,0.022213578
6,1970,1,0.013905403
7,1970,1,0.011799469
8,1970,1,0.012246162
9,1970,1,0.013097543
10,1970,1,0.014052183
11,1970,1,0.015452243
12,1970,1,0.017496154
13,1970,1,0.019891401
14,1970,1,0.022063831
15,1970,1,0.023746588
