year,area,stage,f
2021,4,adult,0.0700128005952
1952,5,adult,0.000224407131251813
1953,5,adult,0.00185318169354593
1954,5,adult,0.00560540007805365
1955,5,adult,0.00296075807772288
1956,5,adult,0.00205938168274601
1957,5,adult,0.00410883010116105
1958,5,adult,0.00485167379735074
1959,5,adult,0.00334498816985489
1960,5,adult,0.00400418352828486
1961,5,adult,0.00511766921129877
1962,5,adult,0.00745087400855636
1963,5,adult,0.00595664688202298
1964,5,adult,0.0051222384496599
1965,5,adult,0.0059668174481324
1966,5,adult,0.00820974985740946
1967,5,adult,0.00430628942522473
1968,5,adult,0.003263408995391
1969,5,adult,0.005614874838376
1970,5,adult,0.00622485434219063
1971,5,adult,0.00615049145590707
1972,5,adult,0.00535105259553005
1973,5,adult,0.0100480771807549
1974,5,adult,0.006435447210882
1975,5,adult,0.00263234730064513
1976,5,adult,0.00540744083366657
1977,5,adult,0.00408303166776669
1978,5,adult,0.00487449869967023
1979,5,adult,0.00753440772371934
1980,5,adult,0.00921794099223425
1981,5,adult,0.0108202161429123
1982,5,adult,0.00641973846820928
1983,5,adult,0.00814270748952243
1984,5,adult,0.00387195849343719
1985,5,adult,0.00782726086663641
1986,5,adult,0.00572691771537571
1987,5,adult,0.00648564361479152
1988,5,adult,0.0132238985990101
1989,5,adult,0.00664944143773537
1990,5,adult,0.0101676259434902
1991,5,adult,0.00816177629880474
1992,5,adult,0.00723443582028608
1993,5,adult,0.0138411382568446
1994,5,adult,0.0147756849973438
1995,5,adult,0.015928125699829
1996,5,adult,0.0145903397252791
1997,5,adult,0.0128244742613815
1998,5,adult,0.0131591849030658
1999,5,adult,0.0128323228770494
2000,5,adult,0.0167451693773217
2001,5,adult,0.0201760367850949
2002,5,adult,0.0260768910924438
2003,5,adult,0.0370140296945423
2004,5,adult,0.0376434754960226
2005,5,adult,0.0271965245748761
2006,5,adult,0.0260344084698083
2007,5,adult,0.0292340487250317
2008,5,adult,0.030159794117752
2009,5,adult,0.0344920798462172
2010,5,adult,0.0464687771361297
2011,5,adult,0.039431365664316
2012,5,adult,0.0353712736312983
2013,5,adult,0.0303784770442375
2014,5,adult,0.0488509372046823
2015,5,adult,0.0451148276348104
2016,5,adult,0.0341653181076796
2017,5,adult,0.0475115510945056
2018,5,adult,0.0322070046695438
2019,5,adult,0.0401070454394074
2020,5,adult,0.0422627599793098
2021,5,adult,0.0291442601517153
1952,all,adult,0.00270083277157429
1953,all,adult,0.00331501152784655
1954,all,adult,0.0038178678327904
1955,all,adult,0.00365847867496016
1956,all,adult,0.00304385603251054
1957,all,adult,0.00495243742475127
1958,all,adult,0.00637471665631139
1959,all,adult,0.00684137826863563
1960,all,adult,0.0072950048932345
1961,all,adult,0.00881885172558683
1962,all,adult,0.0114134275707066
1963,all,adult,0.00968260688178644
1964,all,adult,0.00867519283016082
1965,all,adult,0.00895641399669718
1966,all,adult,0.0113619889795103
1967,all,adult,0.00827775288320036
1968,all,adult,0.0102034495760418
1969,all,adult,0.0104733172875111
1970,all,adult,0.0135502708448388
1971,all,adult,0.011697068532965
1972,all,adult,0.0118893011303274
1973,all,adult,0.0167835163456397
1974,all,adult,0.0175239440270295
1975,all,adult,0.0169178065407303
1976,all,adult,0.0208342789779614
1977,all,adult,0.0242505084582765
1978,all,adult,0.0273978894210024
1979,all,adult,0.0331081939925163
1980,all,adult,0.0362544804517307
1981,all,adult,0.031523080281383
1982,all,adult,0.0284591482227276
1983,all,adult,0.0338801886262279
1984,all,adult,0.0318793902482924
1985,all,adult,0.0356273444093388
1986,all,adult,0.0309772151691785
1987,all,adult,0.0332546455058213
1988,all,adult,0.0341108614910206
1989,all,adult,0.0358188828962646
1990,all,adult,0.0437961412889385
1991,all,adult,0.0424709845466502
1992,all,adult,0.0500184910645649
1993,all,adult,0.053605471661395
1994,all,adult,0.0602526886750971
1995,all,adult,0.0612082146477179
1996,all,adult,0.0601007239242972
1997,all,adult,0.0700543500834976
1998,all,adult,0.0825632378946053
1999,all,adult,0.0606062509572217
2000,all,adult,0.0806710629003681
2001,all,adult,0.0846476254050398
2002,all,adult,0.0787657196345288
2003,all,adult,0.0841464093550154
2004,all,adult,0.0871315374401243
2005,all,adult,0.0836524113974518
2006,all,adult,0.075150495715619
2007,all,adult,0.0789068482006272
2008,all,adult,0.08960468786514
2009,all,adult,0.0754792748923789
2010,all,adult,0.0849730049057059
2011,all,adult,0.0855999872428115
2012,all,adult,0.122773579128916
2013,all,adult,0.093948820508826
2014,all,adult,0.12591223375125
2015,all,adult,0.113169551580333
2016,all,adult,0.103100762858696
2017,all,adult,0.104429097286029
2018,all,adult,0.105213282706775
2019,all,adult,0.109524771588358
2020,all,adult,0.082718798198112
2021,all,adult,0.0897621108367774
1952,1,juvenile,0.012595639406907
1953,1,juvenile,0.0237979426803663
1954,1,juvenile,0.0279153107522044
1955,1,juvenile,0.017112112001635
1956,1,juvenile,0.0124772553357126
1957,1,juvenile,0.00571782503347718
1958,1,juvenile,0.00895311319322806
1959,1,juvenile,0.02007845557184
1960,1,juvenile,0.0112063169846588
1961,1,juvenile,0.0143942243881911
1962,1,juvenile,0.0232429046561013
1963,1,juvenile,0.00949562409301541
1964,1,juvenile,0.0148205057284049
1965,1,juvenile,0.0208789135509043
1966,1,juvenile,0.0117822141080134
1967,1,juvenile,0.0128456117745677
1968,1,juvenile,0.0124647940110876
1969,1,juvenile,0.0164915657471483
1970,1,juvenile,0.0164213405476839
1971,1,juvenile,0.0189211746354506
1972,1,juvenile,0.0244838866060726
1973,1,juvenile,0.0210636327242806
1974,1,juvenile,0.0223828291936116
1975,1,juvenile,0.0139446794304413
1976,1,juvenile,0.0188773372388074
1977,1,juvenile,0.0181262286646785
1978,1,juvenile,0.033670464757022
1979,1,juvenile,0.0306066526233203
1980,1,juvenile,0.0266848612882199
1981,1,juvenile,0.0191327407206117
1982,1,juvenile,0.0213720541645924
1983,1,juvenile,0.0257538091168019
1984,1,juvenile,0.030318776920668
1985,1,juvenile,0.0281277152381203
1986,1,juvenile,0.0202281623466535
1987,1,juvenile,0.0217674020114283
1988,1,juvenile,0.0181869472425883
1989,1,juvenile,0.0235644305769764
1990,1,juvenile,0.0170367318480431
1991,1,juvenile,0.0128621336880835
1992,1,juvenile,0.0155563639457461
1993,1,juvenile,0.0150296197461781
1994,1,juvenile,0.0110704122907732
1995,1,juvenile,0.0187932529345111
1996,1,juvenile,0.0151948373649141
1997,1,juvenile,0.0153614763351874
1998,1,juvenile,0.0107800526758334
1999,1,juvenile,0.0165518811553575
2000,1,juvenile,0.0142070751085422
2001,1,juvenile,0.0105623198340918
2002,1,juvenile,0.00907162985478544
2003,1,juvenile,0.0124470294007976
2004,1,juvenile,0.0112066228798599
2005,1,juvenile,0.0168103983685706
2006,1,juvenile,0.0170124640966697
2007,1,juvenile,0.0117919517734699
2008,1,juvenile,0.0165455461106122
2009,1,juvenile,0.0224934639456559
2010,1,juvenile,0.01740276406605
2011,1,juvenile,0.0153257705070539
2012,1,juvenile,0.0142843790301439
2013,1,juvenile,0.0116715713346856
2014,1,juvenile,0.00977679168079998
2015,1,juvenile,0.011225807664814
2016,1,juvenile,0.0153679256665045
2017,1,juvenile,0.0160189635436414
2018,1,juvenile,0.0168460503323028
2019,1,juvenile,0.0163195640005657
2020,1,juvenile,0.0136928169282657
2021,1,juvenile,0.0197138202528926
1952,2,juvenile,0.000889799258416614
1953,2,juvenile,0.000607673077987566
1954,2,juvenile,0.000608469358943865
1955,2,juvenile,0.000421957738705152
1956,2,juvenile,0.00054872799736397
1957,2,juvenile,0.000299773402950538
1958,2,juvenile,0.000617551717337296
1959,2,juvenile,0.000960537331588374
1960,2,juvenile,0.000893348740367766
1961,2,juvenile,0.00138558313784471
1962,2,juvenile,0.00181437221428982
1963,2,juvenile,0.0014196100756978
1964,2,juvenile,0.00107131316206259
1965,2,juvenile,0.00158920042781055
1966,2,juvenile,0.00182005835800748
1967,2,juvenile,0.00187283266166255
1968,2,juvenile,0.00197945903489299
1969,2,juvenile,0.00186847345676472
1970,2,juvenile,0.066274499255002
1971,2,juvenile,0.0564802392691406
1972,2,juvenile,0.06592107332791
1973,2,juvenile,0.068157052889599
1974,2,juvenile,0.121186404729429
1975,2,juvenile,0.125177230874354
1976,2,juvenile,0.0837011420687914
1977,2,juvenile,0.102254327684039
1978,2,juvenile,0.0842943436456646
1979,2,juvenile,0.124885119185238
1980,2,juvenile,0.16528328896687
1981,2,juvenile,0.173093620981159
1982,2,juvenile,0.137332688640592
1983,2,juvenile,0.231762425216905
1984,2,juvenile,0.151012644547609
1985,2,juvenile,0.268033639025855
1986,2,juvenile,0.281176479030106
1987,2,juvenile,0.225914349610866
1988,2,juvenile,0.27416740715569
1989,2,juvenile,0.433543402136204
1990,2,juvenile,0.279478914261816
1991,2,juvenile,0.524167347458507
1992,2,juvenile,0.532752573460251
1993,2,juvenile,0.250031507746993
1994,2,juvenile,0.397406774938103
1995,2,juvenile,0.751916805462791
1996,2,juvenile,0.345012383002106
1997,2,juvenile,0.541615093403587
1998,2,juvenile,0.35484783453046
1999,2,juvenile,0.248790280637061
2000,2,juvenile,0.376510103236794
2001,2,juvenile,0.421981690830794
2002,2,juvenile,0.354873488437251
2003,2,juvenile,0.623651701593793
2004,2,juvenile,0.549941567734102
2005,2,juvenile,0.354225034051171
2006,2,juvenile,0.299862614921847
2007,2,juvenile,0.294464483142507
2008,2,juvenile,0.275039287862497
2009,2,juvenile,0.413671700718176
2010,2,juvenile,0.380324162734544
2011,2,juvenile,0.241880504142961
2012,2,juvenile,0.316023432137373
2013,2,juvenile,0.357368038750343
2014,2,juvenile,0.404354299436754
2015,2,juvenile,0.340669221854605
