year,season,area,ssb
1958,4,4,2471600
1959,4,4,2521200
1960,4,4,2502100
1961,4,4,2195100
1962,4,4,1940100
1963,4,4,1882500
1964,4,4,1867700
1965,4,4,1974900
1966,4,4,1967800
1967,4,4,1864900
1968,4,4,1833300
1969,4,4,1798100
1970,4,4,1784900
1971,4,4,1896200
1972,4,4,1720200
1973,4,4,1530600
1974,4,4,1475300
1975,4,4,1394800
1976,4,4,1342700
1977,4,4,1550000
1978,4,4,1643200
1979,4,4,1567800
1980,4,4,1446600
1981,4,4,1396200
1982,4,4,1418500
1983,4,4,1438500
1984,4,4,1438900
1985,4,4,1338500
1986,4,4,1380800
1987,4,4,1487500
1988,4,4,1515900
1989,4,4,1455600
1990,4,4,1256900
1991,4,4,1104100
1992,4,4,999070
1993,4,4,909520
1994,4,4,860120
1995,4,4,866150
1996,4,4,902240
1997,4,4,885050
1998,4,4,805990
1999,4,4,765620
2000,4,4,743440
2001,4,4,678010
2002,4,4,665730
2003,4,4,703830
2004,4,4,699690
2005,4,4,652890
2006,4,4,650770
2007,4,4,636870
2008,4,4,663770
2009,4,4,689510
2010,4,4,685630
2011,4,4,693260
2012,4,4,630900
2013,4,4,689900
2014,4,4,746570
2015,4,4,793890
2016,4,4,830540
2017,4,4,796310
2018,4,4,762270
2019,4,4,789160
2020,4,4,951660
2021,4,4,976520
1952,1,5,1657100
1953,1,5,1487200
1954,1,5,1545800
1955,1,5,1550400
1956,1,5,1475900
1957,1,5,1609000
1958,1,5,1615200
1959,1,5,1446400
1960,1,5,1412100
1961,1,5,1448000
1962,1,5,1277600
1963,1,5,1222800
1964,1,5,1206400
1965,1,5,1149200
1966,1,5,1148700
1967,1,5,1082300
1968,1,5,1001100
1969,1,5,976810
1970,1,5,947360
1971,1,5,933230
1972,1,5,1038600
1973,1,5,1009900
1974,1,5,956000
1975,1,5,944920
1976,1,5,847900
1977,1,5,749550
1978,1,5,798730
1979,1,5,880630
1980,1,5,844290
1981,1,5,801530
1982,1,5,779050
1983,1,5,747350
1984,1,5,760570
1985,1,5,833240
1986,1,5,826330
1987,1,5,822720
1988,1,5,868310
1989,1,5,865050
1990,1,5,822130
1991,1,5,715520
1992,1,5,663700
1993,1,5,613290
1994,1,5,562030
1995,1,5,615660
1996,1,5,671400
1997,1,5,693750
1998,1,5,632640
1999,1,5,556300
2000,1,5,494340
2001,1,5,484590
2002,1,5,464190
2003,1,5,482270
2004,1,5,498740
2005,1,5,470450
2006,1,5,475860
2007,1,5,514400
2008,1,5,534090
2009,1,5,548400
2010,1,5,511560
2011,1,5,483730
2012,1,5,447910
2013,1,5,404740
2014,1,5,369850
2015,1,5,385440
2016,1,5,427380
2017,1,5,455170
2018,1,5,448490
2019,1,5,450540
2020,1,5,492520
2021,1,5,532870
1952,2,5,1659600
